,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
4613,International Certification Services,3.4,150,1,754,"Promotions / Appraisal, Salary & Benefits, Job Security",NaN,Other | 201-500 Employees | 24 years old | Mumbai +29 more
4614,Rudrabhishek Enterprises,3.4,150,12,786,NaN,NaN,Urban Transport | 201-500 Employees | Public | 31 years old | Delhi/NCR +23 more
4615,Axio,4.0,150,--,938,"Company Culture, Work Life Balance",NaN,Financial Services | 501-1k Employees | Startup | 10 years old | Bangalore +17 more
4616,PIX Transmissions,4.1,150,2,810,"Salary & Benefits, Skill Development / Learning, Work Satisfaction",NaN,Fashion & Textile | 51-200 Employees | Public | 42 years old | Nagpur +7 more
4617,Bill Forge,3.8,150,--,635,NaN,NaN,Auto Components | 201-500 Employees | 38 years old | Bangalore/Bengaluru +7 more
4618,AIG Business Solution,4.3,150,2,309,"Work Life Balance, Salary & Benefits, Skill Development / Learning",NaN,IT Services & Consulting | 51-200 Employees | 10 years old | Gurgaon/Gurugram +4 more
4619,CignaTTk Health Insurance,3.9,150,39,656,"Work Life Balance, Job Security",NaN,Insurance | 1k-5k Employees | 11 years old | Mumbai +35 more
4620,Saint Gobain Sekurit India,4.0,150,--,802,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Auto Components | 501-1k Employees | Public | 50 years old | Pune +15 more
4621,Star Hospitals,4.0,150,--,672,"Skill Development / Learning, Work Life Balance, Work Satisfaction",NaN,Healthcare | 51-200 Employees | 18 years old | Hyderabad/Secunderabad +13 more
4622,MM Forgings,3.8,150,--,1.3k,Skill Development / Learning,NaN,Iron & Steel | 1k-5k Employees | Public | 77 years old | Chennai +16 more
4623,Vihaan Networks,4.0,150,2,1.1k,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Telecom | 501-1k Employees | 19 years old | Gurgaon/Gurugram +20 more
4624,Edelweiss Broking,3.7,150,--,903,NaN,NaN,Financial Services | 5k-10k Employees | 28 years old | Mumbai +35 more
4625,Mayur Uniquoters,4.1,150,--,960,"Skill Development / Learning, Job Security, Work Life Balance",NaN,Leather | 501-1k Employees | Public | 31 years old | Jaipur +4 more
4626,Suez Water Technologies and Solutions,4.3,150,3,1k,"Company Culture, Job Security, Skill Development / Learning",NaN,Waste Management | 5k-10k Employees | Public | 54 years old | Trevose +28 more
4627,Asian Institute of Medical Sciences,4.2,150,15,970,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Healthcare | 1k-5k Employees | 13 years old | Faridabad +12 more
4628,Bajaj Allianz,4.0,150,--,185,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Pune +73 more
4629,Anlage Infotech,3.9,150,326,644,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,IT Services & Consulting | 11-50 Employees | 27 years old | Mumbai +12 more
4630,Cloudstrats Technologies,3.6,150,14,344,Skill Development / Learning,NaN,IT Services & Consulting | 51-200 Employees (Global) | 9 years old | New York +11 more
4631,Thirumalai Chemicals,4.0,150,11,935,"Skill Development / Learning, Job Security",NaN,Chemicals | 501-1k Employees | Public | 50 years old | Ranipet +7 more
4632,Vesuvius,4.0,149,--,819,"Salary & Benefits, Job Security, Skill Development / Learning",NaN,Industrial Machinery | 501-1k Employees | Public | 32 years old | London +14 more
4633,Utkarsh India,3.1,149,11,996,"Company Culture, Work Life Balance, Promotions / Appraisal",NaN,Industrial Machinery | 501-1k Employees | Public | 36 years old | Kolkata +12 more
4634,Gpt Infraprojects,3.8,149,--,560,Skill Development / Learning,NaN,Engineering & Construction | 1k-5k Employees | Public | 43 years old | Kolkata +18 more
4635,Energy Efficiency Services,3.9,149,--,807,Work Life Balance,Promotions / Appraisal,Power | 501-1k Employees | 14 years old | New Delhi +31 more
4636,6D Technologies,3.6,149,14,1.6k,Job Security,Work Life Balance,Telecom | 1k-5k Employees | 21 years old | Bangalore/Bengaluru +6 more
4637,Massive Restaurants,3.9,149,--,751,Skill Development / Learning,NaN,Hospitality | 501-1k Employees | 11 years old | Gurgaon +13 more
4638,MINISO,4.0,149,15,874,Skill Development / Learning,NaN,Retail | 1k-5k Employees (Global) | 10 years old | Gurgaon/Gurugram +28 more
4639,Amnex Infotechnologies,3.6,149,49,1k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 15 years old | Ahmedabad +16 more
4640,Ephicacy Lifescience Analytics,4.6,149,12,210,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,Clinical Research | 201-500 Employees | Bengaluru/Bangalore +5 more
4641,Google Pay,4.2,149,--,1.2k,"Skill Development / Learning, Company Culture, Salary & Benefits",NaN,FinTech | 10k-50k Employees (Global) | Hyderabad/Secunderabad +53 more
4642,Shalimar Corp,4.1,149,--,756,"Salary & Benefits, Work Life Balance",NaN,Real Estate | 501-1k Employees | Lucknow +9 more
4643,BLS International Services,3.3,149,10,740,"Job Security, Promotions / Appraisal",NaN,BPO | 51-200 Employees | Public | 40 years old | Delhi/NCR +36 more
4644,Voylla,3.6,149,--,610,NaN,NaN,Jewellery | 201-500 Employees | Startup | 11 years old | Jaipur +37 more
4645,QX,3.6,149,42,1k,NaN,NaN,BPO | 1k-5k Employees | 20 years old | Skipton +4 more
4646,Carrefour,4.0,149,17,459,"Skill Development / Learning, Job Security, Work Satisfaction",NaN,Retail | 201-500 Employees | Forbes Global 2000 | 64 years old | Massy +22 more
4647,Sears IT & Management Services India,3.6,149,--,1.7k,Work Life Balance,Job Security,IT Services & Consulting | 501-1k Employees | 14 years old | Pune +3 more
4648,Institute of Language Management,4.0,149,--,304,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,Education & Training | 501-1k Employees | 22 years old | Bengaluru +9 more
4649,Major Brands,3.8,149,3,685,NaN,NaN,Retail | 51-200 Employees | 22 years old | Mumbai +15 more
4650,Narayana Junior College,4.0,149,--,395,Job Security,NaN,Education & Training | 10k-50k Employees | 44 years old | Hyderabad +25 more
4651,Indian Oil- Adani Gas,3.8,149,--,347,"Job Security, Work Life Balance",NaN,Noida +31 more
4652,Green Park Hotels,3.8,149,--,800,"Job Security, Company Culture, Work Life Balance",NaN,Hospitality | 1k-5k Employees | 32 years old | Hyderabad/Secunderabad +14 more
4653,M & M Financial Services,4.4,149,--,269,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +55 more
4654,Ameex Technologies,3.8,149,11,949,Job Security,NaN,IT Services & Consulting | 501-1k Employees | 16 years old | Schaumburg +3 more
4655,Hi Tech Informatics,3.7,149,8,789,Promotions / Appraisal,NaN,IT Services & Consulting | 501-1k Employees (Global) | 33 years old | Bangalore/Bengaluru +39 more
4656,KNR Constructions,4.0,149,1,767,Job Security,NaN,Engineering & Construction | 501-1k Employees | Public | 28 years old | Hyderabad/Secunderabad +30 more
4657,SasMos HET Technologies,3.9,149,--,1.1k,"Skill Development / Learning, Work Satisfaction",NaN,Electrical Equipment | 201-500 Employees | Public | 16 years old | Bengaluru +3 more
4658,Chai Point,3.6,149,20,1.2k,NaN,NaN,Beverage | 501-1k Employees | 13 years old | Bangalore +13 more
4659,L&T Infrastructure Engineering,4.0,149,14,554,"Skill Development / Learning, Job Security",NaN,Engineering & Construction | 201-500 Employees | Chennai +14 more
4660,Sun Direct TV,4.3,149,3,682,"Job Security, Work Life Balance, Work Satisfaction",NaN,Broadcasting | 1k-5k Employees | 16 years old | Chennai +40 more
4661,Tatva Chintan Pharma Chem,4.0,149,6,787,"Work Life Balance, Salary & Benefits",NaN,Chemicals | 51-200 Employees | 27 years old | Vadodara +6 more
4662,Porteck India Infoservices,3.7,149,3,551,NaN,NaN,IT Services & Consulting | 201-500 Employees | 21 years old | Jericho +5 more
4663,Avanse Financial Services,3.9,149,35,1.1k,"Job Security, Company Culture, Salary & Benefits",NaN,Financial Services | 501-1k Employees | Startup | 11 years old | Mumbai +22 more
4664,Claritus Management Consulting,4.6,149,59,291,"Work Satisfaction, Company Culture, Work Life Balance",NaN,IT Services & Consulting | 51-200 Employees | 15 years old | Noida +4 more
4665,Apollo Medskills,4.0,148,--,574,"Work Life Balance, Skill Development / Learning, Company Culture",NaN,Healthcare | 201-500 Employees | 11 years old | Hyderabad/Secunderabad +24 more
4666,Botree Software International,3.7,148,17,1.3k,NaN,NaN,Software Product | 501-1k Employees | 26 years old | Chennai +13 more
4667,SPIE Oil & Gas Services,4.2,148,--,293,"Work Satisfaction, Work Life Balance, Skill Development / Learning",NaN,Oil & Gas | 51-200 Employees | 19 years old | Cergy +12 more
4668,Chitkara University,4.2,148,2,629,"Job Security, Company Culture, Work Life Balance",NaN,Education & Training | 501-1k Employees | 15 years old | Chandigarh +6 more
4669,Sterlite Industries,4.3,148,--,781,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Other | 201-500 Employees | Public | 48 years old | Mumbai +16 more
4670,Jbm Auto Components,4.0,148,--,986,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Auto Components | 10k-50k Employees (Global) | 40 years old | Gurgaon +24 more
4671,Shiva Pharmachem,4.0,148,--,1k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Chemicals | 201-500 Employees | Public | 22 years old | Vadodara/Baroda +7 more
4672,Axles India,3.6,148,--,638,Promotions / Appraisal,NaN,Auto Components | 1k-5k Employees | 42 years old | Chennai +12 more
4673,Alpha Design Technologies,3.9,148,--,1.2k,"Job Security, Work Life Balance, Work Satisfaction",NaN,Defence & Aerospace | 501-1k Employees | 20 years old | Bangalore +11 more
4674,C. L. GUPTA EXPORTS,4.2,148,--,819,"Work Satisfaction, Work Life Balance, Skill Development / Learning",NaN,Import & Export | 1k-5k Employees | Public | 68 years old | New Delhi +7 more
4675,TRIGO Group,2.5,148,2,805,"Promotions / Appraisal, Salary & Benefits, Company Culture",NaN,Auto Components | 11-50 Employees | 26 years old | Tel Aviv +22 more
4676,Student Life,4.0,148,4,548,"Job Security, Skill Development / Learning, Work Life Balance",NaN,501-1k Employees | 5 years old | Kolkata +30 more
4677,Oswaal Books and Learning Private Limited,4.4,148,32,249,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Printing & Publishing | 201-500 Employees | 39 years old | Agra +4 more
4678,Prakash Industries,3.8,148,--,883,"Work Life Balance, Job Security",NaN,Metals & Mining | 501-1k Employees | Public | 43 years old | New Delhi +33 more
4679,IndiaCan,4.6,148,--,201,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,EdTech | 201-500 Employees | 15 years old | Noida +40 more
4680,Impressico Business Solutions,4.5,148,21,822,"Company Culture, Work Life Balance, Work Satisfaction",NaN,IT Services & Consulting | 201-500 Employees | 15 years old | Noida +6 more
4681,Botree Software International,3.7,148,17,1.3k,NaN,NaN,Software Product | 501-1k Employees | 26 years old | Chennai +13 more
4682,Alpha Design Technologies,3.9,148,--,1.2k,"Job Security, Work Life Balance, Work Satisfaction",NaN,Defence & Aerospace | 501-1k Employees | 20 years old | Bangalore +11 more
4683,GKB RX Lens,4.3,148,1,632,"Job Security, Work Satisfaction, Company Culture",NaN,Medical Equipment | 1k-5k Employees | 64 years old | Kolkata +19 more
4684,Axles India,3.6,148,--,638,Promotions / Appraisal,NaN,Auto Components | 1k-5k Employees | 42 years old | Chennai +12 more
4685,SAVIC Technologies,3.4,148,--,971,NaN,NaN,IT Services & Consulting | 201-500 Employees | 7 years old | Navi Mumbai +11 more
4686,TRIGO Group,2.5,148,2,805,"Promotions / Appraisal, Salary & Benefits, Company Culture",NaN,Auto Components | 11-50 Employees | 26 years old | Tel Aviv +22 more
4687,Covalent Laboratories,3.3,148,19,773,NaN,NaN,Pharma | 51-200 Employees | 21 years old | Hyderabad/Secunderabad +4 more
4688,Simar Infrastructures,4.0,148,--,640,"Work Life Balance, Job Security",NaN,Engineering & Construction | 201-500 Employees | Public | 25 years old | Panipat +23 more
4689,SPIE Oil & Gas Services,4.2,148,--,293,"Work Satisfaction, Work Life Balance, Skill Development / Learning",NaN,Oil & Gas | 51-200 Employees | 19 years old | Cergy +12 more
4690,Student Life,4.0,148,4,548,"Job Security, Skill Development / Learning, Work Life Balance",NaN,501-1k Employees | 5 years old | Kolkata +30 more
4691,Oswaal Books and Learning Private Limited,4.4,148,32,249,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,Printing & Publishing | 201-500 Employees | 39 years old | Agra +4 more
4692,Manika Moulds,4.1,148,8,742,"Work Life Balance, Work Satisfaction, Skill Development / Learning",NaN,Petrochemicals | 51-200 Employees | 27 years old | Mumbai +12 more
4693,Rithwik Projects,3.9,148,1,658,NaN,NaN,Engineering & Construction | 1k-5k Employees | 24 years old | Hyderabad +34 more
4694,Highbar Technocrat,3.8,148,9,809,Skill Development / Learning,NaN,IT Services & Consulting | 201-500 Employees | 13 years old | Mumbai +11 more
4695,Panzer Technologies,4.8,147,11,212,"Job Security, Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 201-500 Employees | 17 years old | Hyderabad
4696,Fernandez Hospital,4.2,147,--,595,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Healthcare | 1k-5k Employees | 75 years old | Hyderabad/Secunderabad
4697,Cholayil Private Limited,4.3,147,14,629,"Work Life Balance, Job Security, Salary & Benefits",NaN,FMCG | 201-500 Employees | 54 years old | Chennai +21 more
4698,Gulf Spic General Trading & Contracting Company,3.9,147,2,912,Job Security,NaN,Engineering & Construction | 5k-10k Employees (Global) | 26 years old | Fahaheel +7 more
4699,Meneta Automotive Components,3.7,147,--,775,NaN,NaN,Auto Components | 201-500 Employees | 16 years old | Sonipat +5 more
4700,R-Logic Technology Services,4.1,147,--,584,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,IT Services & Consulting | 1k-5k Employees | 27 years old | Bangalore/Bengaluru +8 more
4701,Meneta Automotive Components,3.7,147,--,775,NaN,NaN,Auto Components | 201-500 Employees | 16 years old | Sonipat +5 more
4702,Ratnadeep Super Market,4.1,147,--,729,"Work Life Balance, Job Security, Company Culture",NaN,Retail | 5k-10k Employees | 36 years old | Hyderabad/Secunderabad +9 more
4703,KK Spun Pipes,3.0,147,--,833,"Salary & Benefits, Promotions / Appraisal",NaN,Industrial Machinery | 201-500 Employees | 46 years old | Faridabad +14 more
4704,Mangalam Cement,4.1,147,--,718,"Job Security, Work Life Balance, Work Satisfaction",NaN,Building Material | 1k-5k Employees | Public | 47 years old | Kolkata +19 more
4705,Appasamy Associates,3.9,147,--,809,"Job Security, Skill Development / Learning",NaN,Medical Equipment | 51-200 Employees | 45 years old | Chennai +22 more
4706,Formidium Corp,3.5,147,--,822,NaN,NaN,Financial Services | 501-1k Employees | 7 years old | Chicago +2 more
4707,Groww,3.9,147,85,1.1k,"Company Culture, Work Life Balance, Job Security",NaN,Financial Services | 1k-5k Employees | Indian Unicorn | 6 years old | Bangalore +6 more
4708,Jaypee Hotels,3.7,147,--,608,Promotions / Appraisal,NaN,Hospitality | 501-1k Employees | Public | 43 years old | Delhi/NCR +12 more
4709,Margadarsi Chit Fund,3.7,147,--,599,Job Security,Promotions / Appraisal,Financial Services | 1k-5k Employees | 61 years old | Hyderabad +25 more
4710,Fernandez Hospital,4.2,147,--,595,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Healthcare | 1k-5k Employees | 75 years old | Hyderabad/Secunderabad
4711,Biostadt,4.6,147,4,514,"Company Culture, Work Life Balance, Job Security",NaN,Agro Chemicals | 501-1k Employees | 20 years old | Mumbai +44 more
4712,Godawari Power & Ispat,4.2,147,--,684,"Work Life Balance, Job Security, Company Culture",NaN,Iron & Steel | 1k-5k Employees | Public | 24 years old | Raipur +6 more
4713,Jubilant Industries,3.9,147,--,1.1k,"Skill Development / Learning, Salary & Benefits",NaN,Chemicals / Agri Inputs | 501-1k Employees | Public | 16 years old | Noida +31 more
4714,Paramatrix Technologies,4.3,147,8,514,"Job Security, Skill Development / Learning, Company Culture",NaN,Software Product | 201-500 Employees | 19 years old | Mumbai +3 more
4715,Lucy Electric,3.9,147,5,953,Work Life Balance,Promotions / Appraisal,Electrical Equipment | 51-200 Employees | 211 years old | Thame +9 more
4716,Jitm Skills,3.5,147,1,588,NaN,NaN,Education & Training | 51-200 Employees | 10 years old | Delhi/NCR +30 more
4717,Indian Railway Catering and Tourism,3.9,147,--,759,"Work Life Balance, Company Culture",NaN,Urban Transport | 1k-5k Employees | Public | 24 years old | Delhi/NCR +35 more
4718,Aspire Home Finance,4.0,147,--,407,"Skill Development / Learning, Salary & Benefits, Company Culture",NaN,Insurance | 1k-5k Employees | 10 years old | Mumbai +60 more
4719,Gulf Spic General Trading & Contracting Company,3.9,147,2,912,Job Security,NaN,Engineering & Construction | 5k-10k Employees (Global) | 26 years old | Fahaheel +7 more
4720,Army Ordnance Corps,4.8,147,--,448,"Job Security, Company Culture, Work Satisfaction",NaN,Defence & Aerospace | 11-50 Employees | Public | 248 years old | New Delhi +47 more
4721,Echs Polyclinic,4.1,147,--,378,Work Life Balance,"Job Security, Promotions / Appraisal",Healthcare | 11-50 Employees | Public | 20 years old | New Delhi +69 more
